path	subsystem	kind	lines	bytes	module	import_count	test
src/Gameplay/AI/GOAP/GameplayGOAPDecisionInstance.cppm	AI	cppm	197	7383	core:gameplay_goap_decision_instance	5	0
src/Gameplay/AI/GOAP/GameplayGOAPDecisionSetup.cppm	AI	cppm	59	2100	core:gameplay_goap_decision_setup	3	0
src/Gameplay/AI/GOAP/GameplayGOAPDefinitionContracts.cppm	AI	cppm	37	1049	core:gameplay_goap_definition_contracts	2	0
src/Gameplay/AI/Navigation/AIFleeTargetAction.cppm	AI	cppm	77	2901	core:ai_flee_target_action	7	0
src/Gameplay/AI/Navigation/AIFleeTargetActionRuntime.cppm	AI	cppm	214	8318	core:ai_flee_target_action_runtime	9	0
src/Gameplay/AI/Navigation/AIFollowRouteAction.cppm	AI	cppm	121	3916	core:ai_follow_route_action	13	0
src/Gameplay/AI/Navigation/AIFollowRouteActionRuntime.cppm	AI	cppm	361	15002	core:ai_follow_route_action_runtime	14	0
src/Gameplay/AI/Navigation/AIFollowTargetAction.cppm	AI	cppm	76	2931	core:ai_follow_target_action	7	0
src/Gameplay/AI/Navigation/AIFollowTargetActionRuntime.cppm	AI	cppm	208	8241	core:ai_follow_target_action_runtime	8	0
src/Gameplay/AI/Navigation/AIMoveToAction.cppm	AI	cppm	111	4351	core:ai_move_to_action	11	0
src/Gameplay/AI/Navigation/AIMoveToActionBinding.cppm	AI	cppm	219	8904	core:ai_move_to_action_binding	9	0
src/Gameplay/AI/Navigation/GameplayAgentObstacleAvoidance.cppm	AI	cppm	43	1895	core:gameplay_agent_obstacle_avoidance	4	0
src/Gameplay/AI/Runtime/AIActionBinding.cppm	AI	cppm	60	1622	core:ai_action_binding	2	0
src/Gameplay/AI/Runtime/AIActionContracts.cppm	AI	cppm	61	1349	core:ai_action_contracts	0	0
src/Gameplay/AI/Runtime/AIActionRuntime.cppm	AI	cppm	67	2230	core:ai_action_runtime	2	0
src/Gameplay/AI/Runtime/AIActionTask.cppm	AI	cppm	125	3995	core:ai_action_task	2	0
src/Gameplay/AI/Runtime/AISystem.cppm	AI	cppm	162	5532	core:ai_system	3	0
src/Gameplay/AI/Runtime/GameplayAIComponents.cppm	AI	cppm	10	117	core:gameplay_ai_components	0	0
src/Gameplay/AI/Runtime/GameplayAIDecision.cppm	AI	cppm	64	2112	core:gameplay_ai_decision	2	0
src/Gameplay/AI/Runtime/GameplayAIDecisionContracts.cppm	AI	cppm	39	912	core:gameplay_ai_decision_contracts	1	0
src/Gameplay/AI/Runtime/GameplayAIDecisionCreationContext.cppm	AI	cppm	33	979	core:gameplay_ai_decision_creation_context	1	0
src/Gameplay/Action/GameplayActionComponents.cppm	Gameplay	cppm	447	16421	core:gameplay_action_components	0	0
src/Gameplay/Animation/GameplayAnimationBridge.cppm	Animation	cppm	468	17343	core:gameplay_animation_bridge	2	0
src/Gameplay/Animation/GameplayAnimationBridgeSystem.cppm	Animation	cppm	254	11050	core:gameplay_animation_bridge_system	7	0
src/Gameplay/Animation/GameplayAnimationComponents.cppm	Animation	cppm	54	1650	core:gameplay_animation_components	0	0
src/Gameplay/Camera/GameplayCameraComponents.cppm	Gameplay	cppm	20	511	core:gameplay_camera_components	1	0
src/Gameplay/Camera/GameplayFollowCamera.cppm	Gameplay	cppm	92	3396	core:gameplay_follow_camera	4	0
src/Gameplay/Character/CharacterController.cppm	Gameplay	cppm	201	7300	core:character_controller	4	0
src/Gameplay/Character/CharacterMovement.cppm	Gameplay	cppm	342	14540	core:character_movement	2	0
src/Gameplay/Character/GameplayCharacterComponents.cppm	Gameplay	cppm	125	4030	core:gameplay_character_components	3	0
src/Gameplay/Combat/CombatSystem.cppm	Gameplay	cppm	18	419	core:combat_system	1	0
src/Gameplay/Components/GameplayEntityComponents.cppm	Gameplay	cppm	29	634	core:gameplay_entity_components	2	0
src/Gameplay/Events/GameplayWorldEvent.cppm	Gameplay	cppm	29	629	core:gameplay_world_event	1	0
src/Gameplay/GameplayRefactorNotes.md	Gameplay	md	113	3548		0	0
src/Gameplay/GameplayWorld.cppm	Gameplay	cppm	211	13180	core:gameplay	9	0
src/Gameplay/GameplayWorld_component_accessors.inl	Gameplay	inl	18	1502		0	0
src/Gameplay/GameplayWorld_impl.cppm	Gameplay	cppm	210	6066	core:gameplay_impl	1	0
src/Gameplay/Graph/GameplayGraph.cppm	Gameplay	cppm	457	15083	core:gameplay_graph	0	0
src/Gameplay/Graph/GameplayGraphAssets.cppm	Gameplay	cppm	48	1463	core:gameplay_graph_assets	1	0
src/Gameplay/Input/GameplayInput.cppm	Gameplay	cppm	101	3368	core:gameplay_input_system	3	0
src/Gameplay/Input/GameplayInputBindings.cppm	Gameplay	cppm	57	2049	core:gameplay_input_bindings	1	0
src/Gameplay/Input/GameplayInputComponents.cppm	Gameplay	cppm	24	448	core:gameplay_input_components	1	0
src/Gameplay/Interaction/GameplayInteractionComponents.cppm	Gameplay	cppm	19	333	core:gameplay_interaction_components	1	0
src/Gameplay/Interaction/GameplayInteractionPoint.cppm	Gameplay	cppm	72	2091	core:gameplay_interaction_point	2	0
src/Gameplay/Interaction/GameplayObjectReservationSystem.cppm	Gameplay	cppm	103	3645	core:gameplay_object_reservation_system	1	0
src/Gameplay/Interaction/InteractionSystem.cppm	Gameplay	cppm	18	434	core:interaction_system	1	0
src/Gameplay/Navigation/GameplayNavigationDebug.cppm	Gameplay	cppm	54	1308	core:gameplay_navigation_debug	2	0
src/Gameplay/Navigation/GameplayObstacleAvoidance.cppm	Gameplay	cppm	570	22209	core:gameplay_obstacle_avoidance	2	0
src/Gameplay/Navigation/GameplayRequest.cppm	Gameplay	cppm	96	2695	core:gameplay_request	1	0
src/Gameplay/Navigation/GameplayRoute.cppm	Gameplay	cppm	110	3493	core:gameplay_route	1	0
src/Gameplay/Navigation/GameplayRouteFollower.cppm	Gameplay	cppm	337	13497	core:gameplay_route_follower	3	0
src/Gameplay/Navigation/GameplayRouteSearch.cppm	Gameplay	cppm	371	13072	core:gameplay_route_search	2	0
src/Gameplay/Navigation/GameplaySteering.cppm	Gameplay	cppm	188	6281	core:gameplay_steering	2	0
src/Gameplay/Navigation/GameplaySteeringDebug.cppm	Gameplay	cppm	83	1920	core:gameplay_steering_debug	2	0
src/Gameplay/Pickup/GameplayPickupSystem.cppm	Gameplay	cppm	53	1937	core:gameplay_pickup_system	2	0
src/Gameplay/Runtime/GameplayBootstrap.cppm	Gameplay	cppm	109	3523	core:gameplay_bootstrap	4	0
src/Gameplay/Runtime/GameplayRuntime.cppm	Gameplay	cppm	289	14856	core:gameplay_runtime	40	0
src/Gameplay/Runtime/GameplayRuntimeCommon.cppm	Gameplay	cppm	69	1697	core:gameplay_runtime_common	6	0
src/Gameplay/Runtime/GameplayRuntime_FrameLifecycle.inl	Gameplay	inl	38	1242		0	0
src/Gameplay/Runtime/GameplayRuntime_GraphExecution.inl	Gameplay	inl	384	16640		0	0
src/Gameplay/Runtime/GameplayRuntime_ModeAndBootstrap.inl	Gameplay	inl	174	7056		0	0
src/Gameplay/Runtime/GameplayRuntime_PublicApi.inl	Gameplay	inl	913	36702		0	0
